Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
1775,0.1,1.100630e+01,3.801090e+00,4.211880e+03,1.260840e+00,7.556570e-03,5.066720e-01
1800,0.1,1.100320e+01,3.805850e+00,4.306940e+03,1.259560e+00,7.449530e-03,5.115110e-01
1825,0.1,1.100030e+01,3.821760e+00,4.402270e+03,1.257840e+00,7.345560e-03,5.163350e-01
1850,0.1,1.099760e+01,3.847740e+00,4.498110e+03,1.255730e+00,7.244470e-03,5.211450e-01
1875,0.1,1.099480e+01,3.883210e+00,4.594730e+03,1.253270e+00,7.146070e-03,5.259410e-01
1900,0.1,1.099190e+01,3.927950e+00,4.692350e+03,1.250490e+00,7.050200e-03,5.307240e-01
1925,0.1,1.098890e+01,3.981990e+00,4.791210e+03,1.247420e+00,6.956710e-03,5.354960e-01
1950,0.1,1.098550e+01,4.045600e+00,4.891530e+03,1.244090e+00,6.865450e-03,5.402550e-01
1975,0.1,1.098190e+01,4.119210e+00,4.993570e+03,1.240520e+00,6.776290e-03,5.450020e-01
2000,0.1,1.097780e+01,4.203390e+00,5.097580e+03,1.236730e+00,6.689110e-03,5.497390e-01
2025,0.1,1.097330e+01,4.298830e+00,5.203830e+03,1.232750e+00,6.603780e-03,5.543010e-01
2050,0.1,1.096810e+01,4.406330e+00,5.312620e+03,1.228610e+00,6.520190e-03,5.588500e-01
2075,0.1,1.096230e+01,4.526770e+00,5.424260e+03,1.224340e+00,6.438220e-03,5.633860e-01
2100,0.1,1.095570e+01,4.661130e+00,5.539080e+03,1.219980e+00,6.357760e-03,5.679090e-01
2125,0.1,1.094830e+01,4.810460e+00,5.657440e+03,1.215570e+00,6.278710e-03,5.724210e-01
2150,0.1,1.094000e+01,4.975880e+00,5.779730e+03,1.211130e+00,6.200960e-03,5.769220e-01
2175,0.1,1.093050e+01,5.158580e+00,5.906380e+03,1.206710e+00,6.124400e-03,5.814120e-01
2200,0.1,1.091990e+01,5.359820e+00,6.037820e+03,1.202360e+00,6.048930e-03,5.858920e-01
2225,0.1,1.090800e+01,5.580910e+00,6.174530e+03,1.198110e+00,5.974460e-03,5.903630e-01
2250,0.1,1.089470e+01,5.823230e+00,6.317040e+03,1.193990e+00,5.900870e-03,5.948230e-01
2275,0.1,1.087990e+01,6.088220e+00,6.465880e+03,1.190050e+00,5.828070e-03,5.992740e-01
2300,0.1,1.086330e+01,6.377370e+00,6.621650e+03,1.186320e+00,5.755960e-03,6.037170e-01
2325,0.1,1.084500e+01,6.692250e+00,6.784970e+03,1.182830e+00,5.684450e-03,6.081500e-01
2350,0.1,1.082470e+01,7.034460e+00,6.956490e+03,1.179610e+00,5.613430e-03,6.125750e-01
2375,0.1,1.080220e+01,7.405700e+00,7.136930e+03,1.176680e+00,5.542820e-03,6.169900e-01
2400,0.1,1.077750e+01,7.807700e+00,7.327030e+03,1.174050e+00,5.472520e-03,6.213950e-01
2425,0.1,1.075030e+01,8.242290e+00,7.527590e+03,1.171760e+00,5.402440e-03,6.257910e-01
2450,0.1,1.072050e+01,8.711350e+00,7.739430e+03,1.169820e+00,5.332480e-03,6.301750e-01
2475,0.1,1.068790e+01,9.216850e+00,7.963460e+03,1.168230e+00,5.262570e-03,6.345460e-01
2500,0.1,1.065230e+01,9.760840e+00,8.200600e+03,1.167000e+00,5.192610e-03,6.389030e-01
2525,0.1,1.061360e+01,1.034550e+01,8.451840e+03,1.166150e+00,5.122520e-03,6.432430e-01
2550,0.1,1.057160e+01,1.097300e+01,8.718230e+03,1.165680e+00,5.052230e-03,6.475650e-01
2575,0.1,1.052610e+01,1.164570e+01,9.000860e+03,1.165590e+00,4.981650e-03,6.518640e-01
2600,0.1,1.047700e+01,1.236610e+01,9.300910e+03,1.165900e+00,4.910710e-03,6.561370e-01
2625,0.1,1.042400e+01,1.313650e+01,9.619590e+03,1.166590e+00,4.839350e-03,6.603800e-01
