Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
1850,0.00180184,1.255320e+01,4.761490e+00,5.704730e+06,1.189970e+00,1.470500e-04,5.360790e-01
1875,0.00180184,1.253980e+01,5.034220e+00,5.827100e+06,1.183700e+00,1.449340e-04,5.409640e-01
1900,0.00180184,1.252390e+01,5.347210e+00,5.956780e+06,1.177560e+00,1.428460e-04,5.458340e-01
1925,0.00180184,1.250530e+01,5.705240e+00,6.094840e+06,1.171650e+00,1.407820e-04,5.506900e-01
1950,0.00180184,1.248360e+01,6.113510e+00,6.242460e+06,1.166060e+00,1.387360e-04,5.555310e-01
1975,0.00180184,1.245840e+01,6.577730e+00,6.400980e+06,1.160890e+00,1.367020e-04,5.603570e-01
2000,0.00180184,1.242910e+01,7.104160e+00,6.571870e+06,1.156210e+00,1.346770e-04,5.651670e-01
2025,0.00180184,1.239540e+01,7.699670e+00,6.756760e+06,1.152080e+00,1.326530e-04,5.698180e-01
2050,0.00180184,1.235660e+01,8.371910e+00,6.957490e+06,1.148550e+00,1.306250e-04,5.744470e-01
2075,0.00180184,1.231230e+01,9.129400e+00,7.176070e+06,1.145670e+00,1.285880e-04,5.790520e-01
2100,0.00180184,1.226180e+01,9.981740e+00,7.414750e+06,1.143470e+00,1.265360e-04,5.836290e-01
2125,0.00180184,1.220440e+01,1.093990e+01,7.676040e+06,1.141980e+00,1.244630e-04,5.881720e-01
2150,0.00180184,1.213960e+01,1.201630e+01,7.962730e+06,1.141230e+00,1.223630e-04,5.926760e-01
2175,0.00180184,1.206660e+01,1.322540e+01,8.277950e+06,1.141230e+00,1.202280e-04,5.971300e-01
2200,0.00180184,1.198460e+01,1.458400e+01,8.625240e+06,1.142010e+00,1.180540e-04,6.015250e-01
2225,0.00180184,1.189270e+01,1.611120e+01,9.008560e+06,1.143610e+00,1.158330e-04,6.058480e-01
2250,0.00180184,1.179030e+01,1.782900e+01,9.432390e+06,1.146040e+00,1.135600e-04,6.100810e-01
2275,0.00180184,1.167640e+01,1.976120e+01,9.901790e+06,1.149370e+00,1.112260e-04,6.142060e-01
2300,0.00180184,1.155000e+01,2.193250e+01,1.042240e+07,1.153610e+00,1.088270e-04,6.182010e-01
