Tw_K,P_bar,phi,f_air,Bg,Bc
3725,0.00320418,0.8,0,0,2.000000e+02
3750,0.00320418,0.8,0,0,2.000000e+02
3775,0.00320418,0.8,0,0,2.000000e+02
3800,0.00320418,0.8,0,0,2.000000e+02
3825,0.00320418,0.8,0,0,2.000000e+02
3850,0.00320418,0.8,0,0,2.000000e+02
3875,0.00320418,0.8,0,0,2.000000e+02
3900,0.00320418,0.8,0,0,2.000000e+02
3925,0.00320418,0.8,0,0,2.000000e+02
3950,0.00320418,0.8,0,0,2.000000e+02
3975,0.00320418,0.8,0,0,2.000000e+02
4000,0.00320418,0.8,0,0,2.000000e+02
4025,0.00320418,0.8,0,0,2.000000e+02
4050,0.00320418,0.8,0,0,2.000000e+02
4075,0.00320418,0.8,0,0,2.000000e+02
4100,0.00320418,0.8,0,0,2.000000e+02
4125,0.00320418,0.8,0,0,2.000000e+02
4150,0.00320418,0.8,0,0,2.000000e+02
4175,0.00320418,0.8,0,0,2.000000e+02
4200,0.00320418,0.8,0,0,2.000000e+02
4225,0.00320418,0.8,0,0,2.000000e+02
4250,0.00320418,0.8,0,0,2.000000e+02
4275,0.00320418,0.8,0,0,2.000000e+02
4300,0.00320418,0.8,0,0,2.000000e+02
4325,0.00320418,0.8,0,0,2.000000e+02
4350,0.00320418,0.8,0,0,2.000000e+02
4375,0.00320418,0.8,0,0,2.000000e+02
4400,0.00320418,0.8,0,0,2.000000e+02
4425,0.00320418,0.8,0,0,2.000000e+02
4450,0.00320418,0.8,0,0,2.000000e+02
4475,0.00320418,0.8,0,0,2.000000e+02
4500,0.00320418,0.8,0,0,2.000000e+02
4525,0.00320418,0.8,0,0,2.000000e+02
4550,0.00320418,0.8,0,0,2.000000e+02
4575,0.00320418,0.8,0,0,2.000000e+02
4600,0.00320418,0.8,0,0,2.000000e+02
4625,0.00320418,0.8,0,0,2.000000e+02
4650,0.00320418,0.8,0,0,2.000000e+02
4675,0.00320418,0.8,0,0,2.000000e+02
4700,0.00320418,0.8,0,0,2.000000e+02
4725,0.00320418,0.8,0,0,2.000000e+02
4750,0.00320418,0.8,0,0,2.000000e+02
